Country,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,DeathRate,RecoveryRate,ActiveRate,TestsRate
Fiji,Australia/Oceania,897095,27,1,18,8,0,30,1,6693,7460,WesternPacific,0.037037037037037035,0.6666666666666666,0.2962962962962963,0.037037037037037035
Saint Lucia,North America,183712,25,0,24,1,0,136,0,3895,21201,Americas,0.0,0.96,0.04,0.0
Timor-Leste,Asia,1320812,25,0,24,1,0,18,0,4238,3208,South-EastAsia,0.0,0.96,0.04,0.0
Grenada,North America,112576,24,0,23,1,0,213,0,6252,55535,Americas,0.0,0.9583333333333334,0.041666666666666664,0.0
New Caledonia,Australia/Oceania,285769,22,0,22,0,0,76,0,11099,38839,unknowen,0.0,1.0,0.0,0.0
Laos,Asia,7285750,20,0,19,1,0,2,0,29374,4031,WesternPacific,0.0,0.95,0.05,0.0
Dominica,North America,72004,18,0,18,0,0,249,0,1005,13957,Americas,0.0,1.0,0.0,0.0
Saint Kitts and Nevis,North America,53237,17,0,16,1,0,319,0,1146,21526,Americas,0.0,0.9411764705882353,0.058823529411764705,0.0
Greenland,North America,56780,14,0,14,0,0,246,0,5977,105265,Europe,0.0,1.0,0.0,0.0
Montserrat,North America,4992,13,1,10,2,0,2604,200,61,12219,unknowen,0.07692307692307693,0.7692307692307693,0.15384615384615385,0.07692307692307693
Caribbean Netherlands,North America,26247,13,0,7,6,0,495,0,424,16154,unknowen,0.0,0.5384615384615384,0.46153846153846156,0.0
Falkland Islands,South America,3489,13,0,13,0,0,3725,0,1816,520492,unknowen,0.0,1.0,0.0,0.0
Vatican City,Europe,801,12,0,12,0,0,14981,0,0,0,Europe,0.0,1.0,0.0,0.0
Western Sahara,Africa,598682,10,1,8,1,0,16,1,0,0,Africa,0.1,0.8,0.1,0.1
