Country,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,DeathRate,RecoveryRate,ActiveRate,TestsRate
Lesotho,Africa,2143943,742,23,175,544,0,346,10,8771,4091,Africa,0.03099730458221024,0.2358490566037736,0.7331536388140162,0.03099730458221024
Diamond Princess,Africa,7041972,712,13,651,48,4,101,1,0,0,unknowen,0.018258426966292134,0.9143258426966292,0.06741573033707865,0.018258426966292134
San Marino,Europe,33938,699,42,657,0,0,20596,1237,6068,178796,Europe,0.060085836909871244,0.9399141630901288,0.0,0.060085836909871244
Réunion,Africa,895952,671,5,592,74,3,748,5,35419,39532,unknowen,0.007451564828614009,0.8822652757078987,0.11028315946348734,0.007451564828614009
Channel Islands,Europe,174022,597,47,533,17,0,3430,270,30721,176535,unknowen,0.07872696817420435,0.8927973199329984,0.02847571189279732,0.07872696817420435
Guyana,South America,786936,538,22,189,327,2,683,27,5165,6563,Americas,0.040892193308550186,0.3513011152416357,0.6078066914498141,0.040892193308550186
Tanzania,Africa,59886383,509,21,183,305,7,8,0,0,0,Africa,0.0412573673870334,0.35952848722986247,0.5992141453831041,0.0412573673870334
Taiwan,Asia,23821199,477,7,443,27,0,20,0,82737,3473,WesternPacific,0.014675052410901468,0.9287211740041929,0.05660377358490566,0.014675052410901468
Comoros,Africa,871326,396,7,340,49,0,454,8,0,0,Africa,0.017676767676767676,0.8585858585858586,0.12373737373737374,0.017676767676767676
Burundi,Africa,11922216,395,1,304,90,0,33,0,15614,1309,Africa,0.002531645569620253,0.769620253164557,0.22784810126582278,0.002531645569620253
Myanmar,Asia,54446389,357,6,308,43,0,6,0,122290,2246,South-EastAsia,0.01680672268907563,0.8627450980392157,0.12044817927170869,0.01680672268907563
Mauritius,Africa,1271985,344,10,334,0,0,270,7,205285,161389,Africa,0.029069767441860465,0.9709302325581395,0.0,0.029069767441860465
Isle of Man,Europe,85078,336,24,312,0,0,3949,282,8627,101401,unknowen,0.07142857142857142,0.9285714285714286,0.0,0.07142857142857142
Mongolia,Asia,3283344,293,0,260,33,1,89,0,38334,11675,WesternPacific,0.0,0.8873720136518771,0.11262798634812286,0.0
Eritrea,Africa,3551175,282,0,225,57,0,79,0,0,0,Africa,0.0,0.7978723404255319,0.20212765957446807,0.0
Guadeloupe,North America,400131,279,14,179,86,0,697,34,18476,46174,unknowen,0.05017921146953405,0.6415770609318996,0.30824372759856633,0.05017921146953405
Martinique,North America,375235,276,15,98,163,1,735,39,12227,32584,unknowen,0.05434782608695652,0.35507246376811596,0.5905797101449275,0.05434782608695652
Faeroe Islands,Europe,48882,266,0,192,74,1,5441,0,43045,880589,unknowen,0.0,0.7218045112781954,0.2781954887218045,0.0
Aruba,North America,106812,263,3,114,146,0,2462,28,14047,131511,unknowen,0.011406844106463879,0.43346007604562736,0.5551330798479087,0.011406844106463879
Cambodia,Asia,16741375,243,0,210,33,1,14,0,67807,4050,WesternPacific,0.0,0.8641975308641975,0.13580246913580246,0.0
Trinidad and Tobago,North America,1399950,210,8,135,67,0,150,5,9559,6828,Americas,0.0380952380952381,0.6428571428571429,0.319047619047619,0.0380952380952381
Cayman Islands,North America,65798,203,1,202,0,0,3085,15,31108,472780,unknowen,0.0049261083743842365,0.9950738916256158,0.0,0.0049261083743842365
Gibraltar,Europe,33690,190,0,184,6,0,5639,0,23063,684565,unknowen,0.0,0.968421052631579,0.031578947368421054,0.0
Papua New Guinea,Australia/Oceania,8963009,163,3,53,107,0,18,0,10808,1205,WesternPacific,0.018404907975460124,0.32515337423312884,0.656441717791411,0.018404907975460124
Sint Maarten,North America,42924,160,16,64,80,3,3727,372,1115,25976,unknowen,0.1,0.4,0.5,0.1
Bermuda,North America,62254,157,9,144,4,0,2521,144,26352,423298,Americas,0.05732484076433121,0.9171974522292994,0.025477707006369428,0.05732484076433121
Brunei ,Asia,437893,141,3,138,0,0,321,6,41148,93968,unknowen,0.02127659574468085,0.9787234042553191,0.0,0.02127659574468085
Barbados,North America,287411,133,7,100,26,0,462,24,12233,42562,Americas,0.05263157894736842,0.7518796992481203,0.19548872180451127,0.05263157894736842
Turks and Caicos,North America,38768,129,2,39,88,3,3327,51,1252,32294,unknowen,0.015503875968992248,0.3023255813953488,0.6821705426356589,0.015503875968992248
Seychelles,Africa,98408,126,0,124,2,0,1280,0,0,0,Africa,0.0,0.9841269841269841,0.015873015873015872,0.0
Monaco,Europe,39270,125,4,105,16,2,3183,101,38209,972981,Europe,0.032,0.84,0.128,0.032
Bhutan,Asia,772443,105,0,93,12,0,135,0,54589,70670,South-EastAsia,0.0,0.8857142857142857,0.11428571428571428,0.0
Antigua and Barbuda,North America,98010,92,3,76,13,1,938,30,1500,15304,Americas,0.03260869565217391,0.8260869565217391,0.14130434782608695,0.03260869565217391
Liechtenstein,Europe,38139,89,1,85,3,0,2333,26,900,23597,Europe,0.011235955056179775,0.9550561797752809,0.033707865168539325,0.011235955056179775
Belize,North America,398312,86,2,31,53,2,215,5,3679,9236,Americas,0.023255813953488372,0.36046511627906974,0.6162790697674418,0.023255813953488372
French Polynesia,Australia/Oceania,281072,64,0,62,2,0,227,0,5849,20809,unknowen,0.0,0.96875,0.03125,0.0
St. Vincent Grenadines,North America,110976,56,0,46,10,0,504,0,2447,22049,unknowen,0.0,0.8214285714285714,0.17857142857142858,0.0
Saint Martin,North America,38729,53,3,41,9,1,1368,77,1183,30545,unknowen,0.05660377358490566,0.7735849056603774,0.16981132075471697,0.05660377358490566
Macao,Asia,650193,46,0,46,0,0,70,0,4071,6261,unknowen,0.0,1.0,0.0,0.0
Curaçao,North America,164161,31,1,28,2,0,188,6,1080,6578,unknowen,0.03225806451612903,0.9032258064516129,0.06451612903225806,0.03225806451612903
